rndrng_npi,rndrng_prvdr_type,rndrng_prvdr_state_abrvtn,row_count,total_beneficiaries,total_services,estimated_submitted_charges,estimated_medicare_allowed,estimated_medicare_payment,estimated_standardized_payment,avg_payment_per_service,charge_to_payment_ratio,allowed_to_payment_ratio
1821326570,Ambulance Service Provider,MN,4,798,28289.5,13250823.500002999,3236842.540021986,2576251.2899740385,2429361.8900238154,91.06740274568439,5.143451476015187,1.2564156891910199
1558517987,Hematology-Oncology,AL,89,9600,130653.0,9823666.999999603,3209793.210003538,2574124.4000012856,2612679.5400058627,19.701992300224912,3.816314005645841,1.2469456448965461
1104497700,Nurse Practitioner,LA,12,411,4065.0,4115185.159990254,3235166.6000337573,2573797.3900262043,2576510.970024841,633.1604895513418,1.5988768874881625,1.2569624215839381
1245464742,Hematology-Oncology,VA,82,5240,212551.0,13718782.6900011,3228928.7099988996,2572438.5799940606,2577620.4000003864,12.102688672337747,5.332987460494693,1.2552014789042523
1821091893,Ambulance Service Provider,OH,6,12790,107843.5,5680896.949967222,3250751.1300095185,2571114.009983315,2353257.4099817597,23.84115880867475,2.209507990664361,1.2643356604908444
1124285515,Ambulatory Surgical Center,NC,44,2083,24315.0,15027528.850017268,3232210.8800309785,2570981.479991866,2728750.3999952856,105.73643758963051,5.845055270512805,1.257189483932496
1366453128,Ophthalmology,VA,17,3629,42307.0,6603124.8200494405,3284346.840030674,2570894.710012887,2571328.98001594,60.76759661552195,2.568415110246324,1.277511220992092
1730525999,Rheumatology,CA,22,1620,110698.0,5906412.3999992795,3242967.3699925714,2570590.480001429,2585245.3999944143,23.22165242372427,2.297687027922081,1.261565152139974
1629429410,Ambulatory Surgical Center,MD,21,1984,3089.0,6323999.8599976,3242610.96997411,2569629.2300098,2555293.9799968004,831.8644318581418,2.461055387346089,1.2618983828891701
1356329981,Ophthalmology,VA,20,5271,19751.0,11594276.00998686,3287661.910014677,2568282.480003916,2579219.309984515,130.03303528955072,4.514408403381384,1.2801013656448195
1316085566,Ophthalmology,NJ,16,4761,23134.0,5036297.6700486075,3306538.370006073,2567925.350004086,2470212.540000539,111.002219676843,1.9612321168294842,1.287630253738027
1396746673,Clinical Laboratory,NY,317,128252,204563.0,7339177.709978324,2659554.9400006006,2567857.600000406,2606652.029995704,12.552893729562072,2.858093731512668,1.0357096670781822
1366093312,Nurse Practitioner,MO,10,190,22746.0,5688400.000075549,3223792.57010097,2566734.099986211,2572982.43004117,112.84331750576852,2.2162015146431053,1.255990080982011
1699194928,Hematology-Oncology,FL,66,5839,226918.0,8904569.0,3221920.1599888224,2565207.4000018975,2556207.430002514,11.304556712124633,3.471286181379881,1.2560076662754205
1326018391,Orthopedic Surgery,FL,24,1157,5930.0,3592890.000042554,3233359.149955234,2563830.520087282,2568671.720054385,432.3491602170796,1.4013757820155128,1.2611438722732573
1700591641,Clinical Laboratory,TX,25,16540,69775.0,2893164.559999958,2562720.090013628,2562720.090013628,2562721.370013595,36.7283423864368,1.128942864760768,1.0
1316939556,Ambulatory Surgical Center,CA,24,1594,37975.0,17836429.700000286,3217690.389993783,2562673.810001956,1800142.4100082037,67.48318130354065,6.960085840962598,1.2555988895017924
